Category: All categories

Month,skateboarding: (United States)
2004-01,85
2004-02,80
2004-03,96
2004-04,95
2004-05,100
2004-06,74
2004-07,69
2004-08,76
2004-09,78
2004-10,90
2004-11,90
2004-12,81
2005-01,72
2005-02,75
2005-03,80
2005-04,82
2005-05,85
2005-06,74
2005-07,69
2005-08,67
2005-09,69
2005-10,71
2005-11,77
2005-12,66
2006-01,72
2006-02,71
2006-03,71
2006-04,68
2006-05,70
2006-06,56
2006-07,53
2006-08,53
2006-09,56
2006-10,56
2006-11,68
2006-12,77
2007-01,58
2007-02,58
2007-03,60
2007-04,63
2007-05,66
2007-06,70
2007-07,66
2007-08,62
2007-09,52
2007-10,64
2007-11,59
2007-12,55
2008-01,52
2008-02,51
2008-03,56
2008-04,51
2008-05,50
2008-06,45
2008-07,31
2008-08,39
2008-09,38
2008-10,40
2008-11,49
2008-12,44
2009-01,43
2009-02,44
2009-03,44
2009-04,40
2009-05,42
2009-06,42
2009-07,41
2009-08,41
2009-09,38
2009-10,38
2009-11,33
2009-12,36
2010-01,33
2010-02,35
2010-03,35
2010-04,35
2010-05,37
2010-06,33
2010-07,31
2010-08,31
2010-09,28
2010-10,31
2010-11,27
2010-12,28
2011-01,28
2011-02,28
2011-03,25
2011-04,26
2011-05,25
2011-06,29
2011-07,26
2011-08,28
2011-09,24
2011-10,22
2011-11,21
2011-12,22
2012-01,20
2012-02,21
2012-03,21
2012-04,22
2012-05,22
2012-06,22
2012-07,21
2012-08,21
2012-09,18
2012-10,17
2012-11,18
2012-12,18
2013-01,15
2013-02,17
2013-03,17
2013-04,17
2013-05,17
2013-06,18
2013-07,17
2013-08,16
2013-09,15
2013-10,14
2013-11,16
2013-12,14
2014-01,15
2014-02,17
2014-03,15
2014-04,16
2014-05,16
2014-06,17
2014-07,16
2014-08,16
2014-09,15
2014-10,15
2014-11,15
2014-12,15
2015-01,14
2015-02,13
2015-03,15
2015-04,15
2015-05,15
2015-06,15
2015-07,14
2015-08,13
2015-09,13
2015-10,14
2015-11,15
2015-12,13
2016-01,12
2016-02,13
2016-03,13
2016-04,12
2016-05,14
2016-06,13
2016-07,13
2016-08,14
2016-09,12
2016-10,13
2016-11,12
2016-12,11
2017-01,10
2017-02,11
2017-03,12
2017-04,12
2017-05,12
2017-06,12
2017-07,11
2017-08,10
2017-09,11
2017-10,10
2017-11,11
2017-12,10
2018-01,10
2018-02,13
2018-03,10
2018-04,10
2018-05,10
2018-06,10
2018-07,11
2018-08,10
2018-09,9
2018-10,9
2018-11,10
2018-12,10
2019-01,9
2019-02,11
2019-03,9
2019-04,11
2019-05,10
2019-06,10
2019-07,10
2019-08,11
2019-09,11
2019-10,10
2019-11,9
2019-12,10
2020-01,10
2020-02,11
2020-03,10
2020-04,13
2020-05,15
2020-06,15
2020-07,12
2020-08,14
2020-09,15
2020-10,14
2020-11,11
2020-12,11
2021-01,11
2021-02,9
2021-03,10
2021-04,11
2021-05,11
2021-06,12
2021-07,67
2021-08,26
2021-09,10
2021-10,9
2021-11,9
2021-12,10
2022-01,9
2022-02,11
2022-03,9
2022-04,10
2022-05,10
2022-06,9
2022-07,10
2022-08,9
2022-09,9
2022-10,8
2022-11,8
2022-12,9
2023-01,9
2023-02,9
2023-03,8
2023-04,10
2023-05,8
2023-06,9
2023-07,9
2023-08,9
2023-09,8
2023-10,8
